galaxy,file,gamma_quad,rmse_quad,gamma_lin,rmse_lin,n_points
CamB_rotmod,./profiles/CamB_rotmod_components_profile.csv,1.0,5.097471721129174e-10,1.0,5.157487883712411,9
D512-2_rotmod,./profiles/D512-2_rotmod_components_profile.csv,1.0,2.560380334582602e-10,1.0,5.5053487667897425,4
D564-8_rotmod,./profiles/D564-8_rotmod_components_profile.csv,1.0,5.115015888646218e-10,1.0,4.0498127984207555,6
D631-7_rotmod,./profiles/D631-7_rotmod_components_profile.csv,1.0,2.2449769079564895e-10,1.0,9.652370731236376,16
DDO064_rotmod,./profiles/DDO064_rotmod_components_profile.csv,1.0,6.724701429581538e-10,1.0,8.07657178390048,14
DDO154_rotmod,./profiles/DDO154_rotmod_components_profile.csv,1.0,2.8976719645688673e-10,1.0,6.021453428796891,12
DDO161_rotmod,./profiles/DDO161_rotmod_components_profile.csv,1.0,1.7556041731883637e-10,1.0,12.254414651950807,31
DDO168_rotmod,./profiles/DDO168_rotmod_components_profile.csv,1.0,2.1391282345932768e-10,1.0,10.394603374787545,10
DDO170_rotmod,./profiles/DDO170_rotmod_components_profile.csv,1.0,1.8031983648373676e-10,1.0,11.260121526179894,8
ESO079-G014_rotmod,./profiles/ESO079-G014_rotmod_components_profile.csv,1.0,7.077051678729522e-11,1.0,18.842911661286355,15
ESO116-G012_rotmod,./profiles/ESO116-G012_rotmod_components_profile.csv,1.0,1.1178138312248433e-10,1.0,17.370763358766567,15
ESO444-G084_rotmod,./profiles/ESO444-G084_rotmod_components_profile.csv,1.0,3.028230245476372e-10,1.0,7.618233437551215,7
ESO563-G021_rotmod,./profiles/ESO563-G021_rotmod_components_profile.csv,1.0,2.73331651259697e-11,1.0,31.342079536279478,30
F561-1_rotmod,./profiles/F561-1_rotmod_components_profile.csv,1.0,1.1999937717313143e-10,1.0,15.050234626102933,6
F563-1_rotmod,./profiles/F563-1_rotmod_components_profile.csv,1.0,1.5564480814795547e-10,1.0,13.146305518936666,17
F563-V1_rotmod,./profiles/F563-V1_rotmod_components_profile.csv,1.0,2.4392455419103297e-10,1.0,10.012604948707441,6
F563-V2_rotmod,./profiles/F563-V2_rotmod_components_profile.csv,1.0,2.8675410968259345e-10,1.0,15.376000662120127,10
F565-V2_rotmod,./profiles/F565-V2_rotmod_components_profile.csv,1.0,2.300090198418512e-10,1.0,10.52547046437269,7
F567-2_rotmod,./profiles/F567-2_rotmod_components_profile.csv,1.0,1.5115741243303128e-10,1.0,12.090640647644246,5
F568-1_rotmod,./profiles/F568-1_rotmod_components_profile.csv,1.0,1.581074252623054e-10,1.0,16.473385380604487,12
F568-3_rotmod,./profiles/F568-3_rotmod_components_profile.csv,1.0,1.4809845715100106e-10,1.0,14.380279873369924,18
F568-V1_rotmod,./profiles/F568-V1_rotmod_components_profile.csv,1.0,1.5364607064503686e-10,1.0,12.614154012995824,15
F571-8_rotmod,./profiles/F571-8_rotmod_components_profile.csv,1.0,6.915709007565815e-11,1.0,7.756578560388188,13
F571-V1_rotmod,./profiles/F571-V1_rotmod_components_profile.csv,1.0,1.3663891524763338e-10,1.0,15.032736876272178,7
F574-1_rotmod,./profiles/F574-1_rotmod_components_profile.csv,1.0,1.4446750913585433e-10,1.0,12.815126684560731,14
F574-2_rotmod,./profiles/F574-2_rotmod_components_profile.csv,1.0,1.5578864094755613e-10,1.0,13.724736654809044,5
F579-V1_rotmod,./profiles/F579-V1_rotmod_components_profile.csv,1.0,1.1603835510954853e-10,1.0,14.773684877618184,14
F583-1_rotmod,./profiles/F583-1_rotmod_components_profile.csv,1.0,3.1363327252416105e-10,1.0,8.072605121309705,25
F583-4_rotmod,./profiles/F583-4_rotmod_components_profile.csv,1.0,2.966381373455855e-10,1.0,8.285117449448968,12
IC2574_rotmod,./profiles/IC2574_rotmod_components_profile.csv,1.0,2.2545694780227996e-10,1.0,10.473472281614074,34
IC4202_rotmod,./profiles/IC4202_rotmod_components_profile.csv,0.9999999999997641,1.1169788305905351e-11,0.29650046010947356,46.50759312009127,32
KK98-251_rotmod,./profiles/KK98-251_rotmod_components_profile.csv,1.0,5.713642091080175e-10,1.0,6.3875194477541095,15
NGC0024_rotmod,./profiles/NGC0024_rotmod_components_profile.csv,1.0,1.1117568153513697e-10,1.0,11.645650517386942,29
NGC0055_rotmod,./profiles/NGC0055_rotmod_components_profile.csv,1.0,9.920240489556212e-11,1.0,21.586664703135586,21
NGC0100_rotmod,./profiles/NGC0100_rotmod_components_profile.csv,1.0,1.5596391437914877e-10,1.0,11.456210221682076,21
NGC0247_rotmod,./profiles/NGC0247_rotmod_components_profile.csv,1.0,1.0450255627500902e-10,1.0,18.56697528591184,26
NGC0289_rotmod,./profiles/NGC0289_rotmod_components_profile.csv,1.0,4.1426798661018205e-11,1.0,34.24659172084167,28
NGC0300_rotmod,./profiles/NGC0300_rotmod_components_profile.csv,1.0,1.079708156521417e-10,1.0,14.060385019342872,25
NGC0801_rotmod,./profiles/NGC0801_rotmod_components_profile.csv,1.0,2.3198979511863945e-11,1.0,35.83780038320412,13
NGC0891_rotmod,./profiles/NGC0891_rotmod_components_profile.csv,0.9999999999998131,1.451858269779122e-11,0.25212172736898997,39.79311957070599,18
NGC1003_rotmod,./profiles/NGC1003_rotmod_components_profile.csv,1.0,9.257584306620913e-11,1.0,19.141062817621112,36
NGC1090_rotmod,./profiles/NGC1090_rotmod_components_profile.csv,1.0,4.11056538844647e-11,1.0,28.581398018517437,24
NGC1705_rotmod,./profiles/NGC1705_rotmod_components_profile.csv,1.0,1.6315408070744284e-10,1.0,10.94596254369606,14
NGC2366_rotmod,./profiles/NGC2366_rotmod_components_profile.csv,1.0,3.162022990996952e-10,1.0,10.181681473501111,26
NGC2403_rotmod,./profiles/NGC2403_rotmod_components_profile.csv,1.0,6.827404007630739e-11,1.0,20.44464873175785,73
NGC2683_rotmod,./profiles/NGC2683_rotmod_components_profile.csv,1.0,3.524413264845851e-11,-0.18818319129054886,11.580557100699327,11
NGC2841_rotmod,./profiles/NGC2841_rotmod_components_profile.csv,0.9999999999997954,1.8437747587167723e-11,0.17728907931716986,40.945079214848995,50
NGC2903_rotmod,./profiles/NGC2903_rotmod_components_profile.csv,1.0,2.7885745093566192e-11,1.0,23.53286843535343,34
NGC2915_rotmod,./profiles/NGC2915_rotmod_components_profile.csv,1.0,1.668607028047904e-10,1.0,10.295124166719821,30
NGC2955_rotmod,./profiles/NGC2955_rotmod_components_profile.csv,0.9999999999998748,9.137474602174026e-12,0.26806841266342657,49.632613257243996,24
NGC2976_rotmod,./profiles/NGC2976_rotmod_components_profile.csv,1.0,1.5293381070314162e-10,1.0,14.197556954052617,27
NGC2998_rotmod,./profiles/NGC2998_rotmod_components_profile.csv,1.0,4.3827783063186296e-11,1.0,33.707649314537676,13
NGC3109_rotmod,./profiles/NGC3109_rotmod_components_profile.csv,1.0,4.753212503517402e-10,1.0,7.938605525462922,25
NGC3198_rotmod,./profiles/NGC3198_rotmod_components_profile.csv,1.0,5.1230348148674665e-11,1.0,21.15190732753749,43
NGC3521_rotmod,./profiles/NGC3521_rotmod_components_profile.csv,1.0,2.063020286310865e-11,1.0,18.53409878722426,41
NGC3726_rotmod,./profiles/NGC3726_rotmod_components_profile.csv,1.0,3.506441483796582e-11,1.0,30.003599682359315,12
NGC3741_rotmod,./profiles/NGC3741_rotmod_components_profile.csv,1.0,3.698729487124639e-10,1.0,4.550834044599827,21
NGC3769_rotmod,./profiles/NGC3769_rotmod_components_profile.csv,1.0,6.046729514789354e-11,1.0,25.16873711064921,12
NGC3877_rotmod,./profiles/NGC3877_rotmod_components_profile.csv,1.0,3.29443979213578e-11,1.0,19.934115741568093,13
NGC3893_rotmod,./profiles/NGC3893_rotmod_components_profile.csv,1.0,3.0490744439113383e-11,1.0,33.56993273546704,10
NGC3917_rotmod,./profiles/NGC3917_rotmod_components_profile.csv,1.0,6.546646880116627e-11,1.0,19.3197278231561,17
NGC3949_rotmod,./profiles/NGC3949_rotmod_components_profile.csv,1.0,2.8159081272035417e-11,1.0,28.386722165534902,7
NGC3953_rotmod,./profiles/NGC3953_rotmod_components_profile.csv,1.0,2.1769937145543132e-11,1.0,20.659832636935256,8
NGC3972_rotmod,./profiles/NGC3972_rotmod_components_profile.csv,1.0,6.344790063927068e-11,1.0,17.894195037257287,10
NGC3992_rotmod,./profiles/NGC3992_rotmod_components_profile.csv,1.0,2.51493052263922e-11,1.0,35.32479230435446,9
NGC4010_rotmod,./profiles/NGC4010_rotmod_components_profile.csv,1.0,6.786863554010532e-11,1.0,21.588038778256095,12
NGC4013_rotmod,./profiles/NGC4013_rotmod_components_profile.csv,0.9999999999989181,1.6135016480015366e-11,-0.11787525107921339,10.485020971554396,36
NGC4051_rotmod,./profiles/NGC4051_rotmod_components_profile.csv,1.0,2.980792990666527e-11,1.0,21.68344411815613,7
NGC4068_rotmod,./profiles/NGC4068_rotmod_components_profile.csv,1.0,3.534578208666136e-10,1.0,8.475646265870614,6
NGC4085_rotmod,./profiles/NGC4085_rotmod_components_profile.csv,1.0,3.769018583816966e-11,1.0,17.210788161060027,7
NGC4088_rotmod,./profiles/NGC4088_rotmod_components_profile.csv,1.0,2.5954666303427666e-11,1.0,37.63620012463117,12
NGC4100_rotmod,./profiles/NGC4100_rotmod_components_profile.csv,1.0,3.4321953711970445e-11,1.0,25.662554156042905,24
NGC4138_rotmod,./profiles/NGC4138_rotmod_components_profile.csv,1.0,3.613103353669638e-11,0.020816428293614315,11.448223721877618,7
NGC4157_rotmod,./profiles/NGC4157_rotmod_components_profile.csv,1.0,2.8607532499615334e-11,-0.7161217174798746,26.548419245128244,17
NGC4183_rotmod,./profiles/NGC4183_rotmod_components_profile.csv,1.0,7.521911153500625e-11,1.0,23.649209000685936,23
NGC4214_rotmod,./profiles/NGC4214_rotmod_components_profile.csv,1.0,1.1948638783514368e-10,1.0,11.75227337766073,14
NGC4217_rotmod,./profiles/NGC4217_rotmod_components_profile.csv,0.99999999999987,1.1099195140758586e-11,0.5764789292989081,29.36563317249773,19
NGC4389_rotmod,./profiles/NGC4389_rotmod_components_profile.csv,1.0,4.0963117179501065e-11,1.0,14.360512161481807,6
NGC4559_rotmod,./profiles/NGC4559_rotmod_components_profile.csv,1.0,5.3234731218346515e-11,1.0,27.046821360812583,32
NGC5005_rotmod,./profiles/NGC5005_rotmod_components_profile.csv,0.9999999999998795,9.860089576973349e-12,0.07853865714383965,46.33932541168736,18
NGC5033_rotmod,./profiles/NGC5033_rotmod_components_profile.csv,0.9999999999997837,2.6352485687781145e-11,0.23690631211472699,43.489050824782474,22
NGC5055_rotmod,./profiles/NGC5055_rotmod_components_profile.csv,1.0,2.8157318772400136e-11,1.0,28.85777663710002,28
NGC5371_rotmod,./profiles/NGC5371_rotmod_components_profile.csv,1.0,2.067557348188401e-11,1.0,34.48183872805354,19
NGC5585_rotmod,./profiles/NGC5585_rotmod_components_profile.csv,1.0,1.3071685214751963e-10,1.0,13.50991785413024,24
NGC5907_rotmod,./profiles/NGC5907_rotmod_components_profile.csv,1.0,2.8091349683807552e-11,1.0,40.54137794777465,19
NGC5985_rotmod,./profiles/NGC5985_rotmod_components_profile.csv,0.9999999999992323,1.4186470360859866e-11,0.09031160635757463,29.978607269544653,33
NGC6015_rotmod,./profiles/NGC6015_rotmod_components_profile.csv,1.0,5.103810611367743e-11,1.0,26.158568749454204,44
NGC6195_rotmod,./profiles/NGC6195_rotmod_components_profile.csv,0.9999999999998938,7.940105002747054e-12,0.3637663088662403,59.613777731153895,23
NGC6503_rotmod,./profiles/NGC6503_rotmod_components_profile.csv,1.0,6.824149500612269e-11,1.0,19.039728598885475,31
NGC6674_rotmod,./profiles/NGC6674_rotmod_components_profile.csv,1.0,3.0106123736109065e-11,0.06907158515034494,36.29355104707539,15
NGC6789_rotmod,./profiles/NGC6789_rotmod_components_profile.csv,1.0,3.6653908051839636e-10,1.0,6.852068459410132,4
NGC6946_rotmod,./profiles/NGC6946_rotmod_components_profile.csv,0.9999999999996859,2.6489848139779558e-11,0.18782217540532348,39.47181046246058,58
NGC7331_rotmod,./profiles/NGC7331_rotmod_components_profile.csv,1.0,1.9772172044469233e-11,-0.1531006918730095,35.615031829802966,36
NGC7793_rotmod,./profiles/NGC7793_rotmod_components_profile.csv,1.0,8.627940537401908e-11,1.0,15.801165174329542,46
NGC7814_rotmod,./profiles/NGC7814_rotmod_components_profile.csv,0.9999999999998702,1.7807737660245203e-11,0.6195113861857647,35.73896460909073,18
PGC51017_rotmod,./profiles/PGC51017_rotmod_components_profile.csv,1.0,2.70201673190375e-10,1.0,7.936239698449442,6
UGC00128_rotmod,./profiles/UGC00128_rotmod_components_profile.csv,1.0,9.427435552881759e-11,1.0,20.451135719633502,22
UGC00191_rotmod,./profiles/UGC00191_rotmod_components_profile.csv,1.0,1.4701829615112052e-10,1.0,11.833842415231361,9
UGC00634_rotmod,./profiles/UGC00634_rotmod_components_profile.csv,1.0,1.0164579229601976e-10,1.0,19.24692312730736,4
UGC00731_rotmod,./profiles/UGC00731_rotmod_components_profile.csv,1.0,2.8388226948430576e-10,1.0,9.178206282583009,12
UGC00891_rotmod,./profiles/UGC00891_rotmod_components_profile.csv,1.0,1.9273149197632596e-10,1.0,10.732044587461845,5
UGC01230_rotmod,./profiles/UGC01230_rotmod_components_profile.csv,1.0,1.1401048769185925e-10,1.0,18.296127464589585,11
UGC01281_rotmod,./profiles/UGC01281_rotmod_components_profile.csv,1.0,3.900429528481314e-10,1.0,8.289188550508506,25
UGC02023_rotmod,./profiles/UGC02023_rotmod_components_profile.csv,1.0,1.752310269450024e-10,1.0,10.5510563015074,5
UGC02259_rotmod,./profiles/UGC02259_rotmod_components_profile.csv,1.0,1.298336974330505e-10,1.0,14.154049784745782,8
UGC02455_rotmod,./profiles/UGC02455_rotmod_components_profile.csv,1.0,7.625381303641552e-11,1.0,16.04036841217451,8
UGC02487_rotmod,./profiles/UGC02487_rotmod_components_profile.csv,0.9999999999997694,1.3694518078421972e-11,0.18331365950779271,33.75345326178972,17
UGC02885_rotmod,./profiles/UGC02885_rotmod_components_profile.csv,0.999999999999852,1.8670061988388238e-11,0.2352491573671313,61.33362944253798,19
UGC02916_rotmod,./profiles/UGC02916_rotmod_components_profile.csv,0.9999999999998906,1.2629221231053419e-11,0.6180735932380191,49.04298929092527,43
UGC02953_rotmod,./profiles/UGC02953_rotmod_components_profile.csv,0.9999999999998844,1.6470153352693034e-11,0.4534296724371158,39.5959057853195,115
UGC03205_rotmod,./profiles/UGC03205_rotmod_components_profile.csv,0.9999999999996879,1.7001076046481712e-11,0.3427932108682728,37.43477163908756,48
UGC03546_rotmod,./profiles/UGC03546_rotmod_components_profile.csv,0.999999999999922,1.8835432311060477e-11,0.563890749384419,44.67621990982302,30
UGC03580_rotmod,./profiles/UGC03580_rotmod_components_profile.csv,0.999999999999239,3.708967409765434e-11,0.36785397912871637,22.578725903297165,47
UGC04278_rotmod,./profiles/UGC04278_rotmod_components_profile.csv,1.0,2.8304649005713093e-10,1.0,11.363627525459508,25
UGC04305_rotmod,./profiles/UGC04305_rotmod_components_profile.csv,1.0,2.3133508152235882e-10,1.0,12.133219392882703,22
UGC04325_rotmod,./profiles/UGC04325_rotmod_components_profile.csv,1.0,1.2968411880884137e-10,1.0,15.918920356051295,8
UGC04483_rotmod,./profiles/UGC04483_rotmod_components_profile.csv,1.0,5.571344576846541e-10,1.0,4.884624423224454,8
UGC04499_rotmod,./profiles/UGC04499_rotmod_components_profile.csv,1.0,1.2282360057100992e-10,1.0,15.517094327577308,9
UGC05005_rotmod,./profiles/UGC05005_rotmod_components_profile.csv,1.0,1.430185194021356e-10,1.0,15.268253344332978,11
UGC05253_rotmod,./profiles/UGC05253_rotmod_components_profile.csv,0.9999999999999112,1.2720192956675949e-11,0.5912533967020085,45.78960304607634,73
UGC05414_rotmod,./profiles/UGC05414_rotmod_components_profile.csv,1.0,1.6282871103204227e-10,1.0,12.628614440451997,6
UGC05716_rotmod,./profiles/UGC05716_rotmod_components_profile.csv,1.0,1.6698815948244737e-10,1.0,10.976022868951144,12
UGC05721_rotmod,./profiles/UGC05721_rotmod_components_profile.csv,1.0,1.4723267394386018e-10,1.0,12.169564991449526,23
UGC05750_rotmod,./profiles/UGC05750_rotmod_components_profile.csv,1.0,3.9676893101526014e-10,1.0,11.808507170223443,11
UGC05764_rotmod,./profiles/UGC05764_rotmod_components_profile.csv,1.0,3.7001721750816023e-10,1.0,7.1707870903425786,10
UGC05829_rotmod,./profiles/UGC05829_rotmod_components_profile.csv,1.0,2.8232775467695074e-10,1.0,10.55180182611803,11
UGC05918_rotmod,./profiles/UGC05918_rotmod_components_profile.csv,1.0,3.5518031979221764e-10,1.0,6.831008252737635,8
UGC05986_rotmod,./profiles/UGC05986_rotmod_components_profile.csv,1.0,8.74474934703101e-11,1.0,16.365010332917375,15
UGC05999_rotmod,./profiles/UGC05999_rotmod_components_profile.csv,1.0,1.0362725004737103e-10,1.0,18.896581077484097,5
UGC06399_rotmod,./profiles/UGC06399_rotmod_components_profile.csv,1.0,1.3517155458606562e-10,1.0,13.463594324183385,9
UGC06446_rotmod,./profiles/UGC06446_rotmod_components_profile.csv,1.0,1.437089717581084e-10,1.0,13.332207644678144,17
UGC06614_rotmod,./profiles/UGC06614_rotmod_components_profile.csv,0.9999999999997906,2.0154629171087475e-11,0.60132091191386,39.09191062957767,13
UGC06628_rotmod,./profiles/UGC06628_rotmod_components_profile.csv,1.0,1.1825718337171074e-10,1.0,14.207098099675944,7
UGC06667_rotmod,./profiles/UGC06667_rotmod_components_profile.csv,1.0,3.329634579886345e-10,1.0,10.39442784209623,9
UGC06786_rotmod,./profiles/UGC06786_rotmod_components_profile.csv,0.999999999999764,2.0132317137887285e-11,0.4385807906113166,40.77717832666622,45
UGC06787_rotmod,./profiles/UGC06787_rotmod_components_profile.csv,0.9999999999999029,1.808693532432866e-11,0.6619605520381509,48.39303496486491,71
UGC06818_rotmod,./profiles/UGC06818_rotmod_components_profile.csv,1.0,1.2964855171741427e-10,1.0,10.648879569953417,8
UGC06917_rotmod,./profiles/UGC06917_rotmod_components_profile.csv,1.0,7.666253523150361e-11,1.0,17.703623867543296,11
UGC06923_rotmod,./profiles/UGC06923_rotmod_components_profile.csv,1.0,8.581704091819743e-11,1.0,17.91460283426446,6
UGC06930_rotmod,./profiles/UGC06930_rotmod_components_profile.csv,1.0,7.501797982250047e-11,1.0,22.41998218973051,10
UGC06973_rotmod,./profiles/UGC06973_rotmod_components_profile.csv,1.0,2.248644232803449e-11,-0.036760348256684436,14.407513652073407,9
UGC06983_rotmod,./profiles/UGC06983_rotmod_components_profile.csv,1.0,8.257224814701941e-11,1.0,19.7735234445281,17
UGC07089_rotmod,./profiles/UGC07089_rotmod_components_profile.csv,1.0,1.2226046622329603e-10,1.0,15.059196773266205,12
UGC07125_rotmod,./profiles/UGC07125_rotmod_components_profile.csv,1.0,1.176474726719292e-10,1.0,16.530076994618778,13
UGC07151_rotmod,./profiles/UGC07151_rotmod_components_profile.csv,1.0,1.1327661481477887e-10,1.0,14.44823410540517,11
UGC07232_rotmod,./profiles/UGC07232_rotmod_components_profile.csv,1.0,2.244269279868843e-10,1.0,7.171793030366719,4
UGC07261_rotmod,./profiles/UGC07261_rotmod_components_profile.csv,1.0,1.165650059043196e-10,1.0,12.153827699086493,7
UGC07323_rotmod,./profiles/UGC07323_rotmod_components_profile.csv,1.0,1.165292997051971e-10,1.0,13.620318661589444,10
UGC07399_rotmod,./profiles/UGC07399_rotmod_components_profile.csv,1.0,1.2742154872761273e-10,1.0,13.685874801747515,10
UGC07524_rotmod,./profiles/UGC07524_rotmod_components_profile.csv,1.0,1.5861588677601846e-10,1.0,14.45516515355457,31
UGC07559_rotmod,./profiles/UGC07559_rotmod_components_profile.csv,1.0,3.053737202812809e-10,1.0,7.0114541979042615,7
UGC07577_rotmod,./profiles/UGC07577_rotmod_components_profile.csv,1.0,6.122745458221845e-10,1.0,4.407191801202824,9
UGC07603_rotmod,./profiles/UGC07603_rotmod_components_profile.csv,1.0,1.7250533226431895e-10,1.0,10.061961487353331,12
UGC07608_rotmod,./profiles/UGC07608_rotmod_components_profile.csv,1.0,2.8003402620076826e-10,1.0,8.577745520796903,8
UGC07690_rotmod,./profiles/UGC07690_rotmod_components_profile.csv,1.0,1.1304709909860321e-10,1.0,13.291878553131768,7
UGC07866_rotmod,./profiles/UGC07866_rotmod_components_profile.csv,1.0,3.1884959972681426e-10,1.0,6.537648959891011,7
UGC08286_rotmod,./profiles/UGC08286_rotmod_components_profile.csv,1.0,1.4882366568276615e-10,1.0,12.825446287633255,17
UGC08490_rotmod,./profiles/UGC08490_rotmod_components_profile.csv,1.0,1.3485901551867693e-10,1.0,13.89353544856623,30
UGC08550_rotmod,./profiles/UGC08550_rotmod_components_profile.csv,1.0,1.991229264908122e-10,1.0,9.001976317968193,11
UGC08699_rotmod,./profiles/UGC08699_rotmod_components_profile.csv,0.9999999999998098,2.3081398990081874e-11,0.45764730529348785,38.90094913491467,41
UGC08837_rotmod,./profiles/UGC08837_rotmod_components_profile.csv,1.0,2.3715590073999197e-10,1.0,10.08051347152241,8
UGC09037_rotmod,./profiles/UGC09037_rotmod_components_profile.csv,1.0,3.519669511585242e-11,1.0,39.992542801566614,22
UGC09133_rotmod,./profiles/UGC09133_rotmod_components_profile.csv,0.9999999999999051,1.9879745776019794e-11,0.4269245857166363,52.662042898599864,68
UGC09992_rotmod,./profiles/UGC09992_rotmod_components_profile.csv,1.0,1.9451643249426986e-10,1.0,9.645797375492744,5
UGC10310_rotmod,./profiles/UGC10310_rotmod_components_profile.csv,1.0,1.3834146425212496e-10,1.0,14.472796058540938,7
UGC11455_rotmod,./profiles/UGC11455_rotmod_components_profile.csv,1.0,2.4505844903272598e-11,1.0,27.25448386052374,36
UGC11557_rotmod,./profiles/UGC11557_rotmod_components_profile.csv,1.0,9.117903707055845e-11,1.0,15.425785795772066,12
UGC11820_rotmod,./profiles/UGC11820_rotmod_components_profile.csv,1.0,2.700222777764735e-10,1.0,10.078894892004396,10
UGC11914_rotmod,./profiles/UGC11914_rotmod_components_profile.csv,0.9999999999998954,5.49237818334249e-12,0.4299190516182574,36.8891556832073,65
UGC12506_rotmod,./profiles/UGC12506_rotmod_components_profile.csv,1.0,4.257449749863797e-11,1.0,43.101101854711494,31
UGC12632_rotmod,./profiles/UGC12632_rotmod_components_profile.csv,1.0,1.772311427297777e-10,1.0,12.478748164827259,15
UGC12732_rotmod,./profiles/UGC12732_rotmod_components_profile.csv,1.0,1.381261767969968e-10,1.0,13.718431288043769,16
UGCA281_rotmod,./profiles/UGCA281_rotmod_components_profile.csv,1.0,5.29007894179303e-10,1.0,5.759381569930546,7
UGCA442_rotmod,./profiles/UGCA442_rotmod_components_profile.csv,1.0,3.3467049421340467e-10,1.0,8.17065137094399,8
UGCA444_rotmod,./profiles/UGCA444_rotmod_components_profile.csv,1.0,7.224293783783235e-10,1.0,3.7852825177195553,36
